catalog,schema,table,column,uc_comment,uc_tags,is_primary_key,is_foreign_key,is_inferred_relationship,inferred_relationship_target,source_system
megacorp,erp,vendors,country,,,false,false,false,,megacorp.erp.vendors
megacorp,erp,vendors,payment_terms,,,false,false,false,,megacorp.erp.vendors
megacorp,factory,bill_of_materials,bom_id,,,true,false,false,,megacorp.factory.bill_of_materials
megacorp,factory,bill_of_materials,parent_material_id,,,false,true,false,,megacorp.factory.bill_of_materials
megacorp,factory,bill_of_materials,component_material_id,,,false,true,false,,megacorp.factory.bill_of_materials
megacorp,factory,bill_of_materials,quantity_required,,,false,false,false,,megacorp.factory.bill_of_materials
megacorp,factory,machine_sensor_readings,reading_id,,,true,false,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machine_sensor_readings,machine_id,,,false,true,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machine_sensor_readings,reading_timestamp,,,false,false,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machine_sensor_readings,temperature_c,,,false,false,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machine_sensor_readings,vibration_mm_s,,,false,false,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machine_sensor_readings,pressure_bar,,,false,false,false,,megacorp.factory.machine_sensor_readings
megacorp,factory,machines,machine_id,,,true,false,false,,megacorp.factory.machines
megacorp,factory,machines,production_line_id,,,false,true,false,,megacorp.factory.machines
megacorp,factory,machines,machine_type,,,false,false,false,,megacorp.factory.machines
megacorp,factory,machines,install_date,,,false,false,false,,megacorp.factory.machines
megacorp,factory,machines,status,,,false,false,false,,megacorp.factory.machines
megacorp,factory,materials,material_id,,,true,false,false,,megacorp.factory.materials
megacorp,factory,materials,material_name,,,false,false,false,,megacorp.factory.materials
megacorp,factory,materials,material_type,"RAW_MATERIAL, COMPONENT, or FINISHED_GOOD",,false,false,false,,megacorp.factory.materials
megacorp,factory,materials,unit_of_measure,,,false,false,false,,megacorp.factory.materials
megacorp,factory,materials,standard_cost,,,false,false,false,,megacorp.factory.materials
megacorp,factory,operators,operator_id,,,true,false,false,,megacorp.factory.operators
megacorp,factory,operators,plant_id,,,false,true,false,,megacorp.factory.operators
megacorp,factory,operators,operator_name,Operator full name.,contains_pii,false,false,false,,megacorp.factory.operators
megacorp,factory,operators,hire_date,,,false,false,false,,megacorp.factory.operators
megacorp,factory,operators,certification_level,,,false,false,false,,megacorp.factory.operators
megacorp,factory,plants,plant_id,,,true,false,false,,megacorp.factory.plants
megacorp,factory,plants,plant_name,,,false,false,false,,megacorp.factory.plants
megacorp,factory,plants,location,,,false,false,false,,megacorp.factory.plants
megacorp,factory,plants,country,,,false,false,false,,megacorp.factory.plants
megacorp,factory,plants,capacity_units_per_day,,,false,false,false,,megacorp.factory.plants
megacorp,factory,production_lines,production_line_id,,,true,false,false,,megacorp.factory.production_lines
megacorp,factory,production_lines,plant_id,,,false,true,false,,megacorp.factory.production_lines
megacorp,factory,production_lines,line_name,,,false,false,false,,megacorp.factory.production_lines
megacorp,factory,production_lines,line_type,,,false,false,false,,megacorp.factory.production_lines
megacorp,factory,quality_inspections,inspection_id,,,true,false,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,work_order_id,,,false,true,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,inspector_name,Inspector full name.,contains_pii,false,false,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,inspection_date,,,false,false,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,result,,,false,false,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,defect_count,,,false,false,false,,megacorp.factory.quality_inspections
megacorp,factory,quality_inspections,operator_id,The operator believed responsible for the inspection outcome. Not a declared FK.,,false,false,true,megacorp.factory.operators,megacorp.factory.quality_inspections
megacorp,factory,shifts,shift_id,,,true,false,false,,megacorp.factory.shifts
megacorp,factory,shifts,plant_id,,,false,true,false,,megacorp.factory.shifts
megacorp,factory,shifts,shift_name,,,false,false,false,,megacorp.factory.shifts
megacorp,factory,shifts,start_time,,,false,false,false,,megacorp.factory.shifts
megacorp,factory,shifts,end_time,,,false,false,false,,megacorp.factory.shifts
megacorp,factory,work_order_operators,work_order_id,,,true,true,false,,megacorp.factory.work_order_operators
megacorp,factory,work_order_operators,operator_id,,,true,true,false,,megacorp.factory.work_order_operators
megacorp,factory,work_order_operators,shift_id,,,true,true,false,,megacorp.factory.work_order_operators
megacorp,factory,work_order_operators,hours_worked,,,false,false,false,,megacorp.factory.work_order_operators
megacorp,factory,work_orders,work_order_id,,,true,false,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,production_line_id,,,false,true,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,material_id,,,false,true,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,quantity_planned,,,false,false,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,quantity_produced,,,false,false,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,start_date,,,false,false,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,end_date,,,false,false,false,,megacorp.factory.work_orders
megacorp,factory,work_orders,status,"One of: PLANNED, IN_PROGRESS, COMPLETED, CANCELLED.",,false,false,false,,megacorp.factory.work_orders
